Dijon
Clermont-Ferrand
Orléans
Aix-en-Provence
Amiens
Annecy
Bayonne, Pays Basque
Belfort-Montbéliard
Bordeaux
Caën
Calais - Boulogne,Grenoble
La Rochelle
Lannion
Laval
Lille A - Villeneuve d'Ascq
Limoges
Bourg en Bresse
Villeurbanne
Marne la Vallée
Metz
Montpellier
Montreuil
Nancy - Charlemagne
Nantes
Nice Côte d'Azur
Orsay
Paris 5 - Université Descartes
Reims
Rodez
Saint Dié
Sénart-Fontainebleau
Strasbourg - Illkirch Graffenstaden
Blagnac
Toulouse A - Paul Sabatier
Valence
Valenciennes - Maubeuge
Vannes
Vélizy
Le Havre
Dignes-Les-Bains Provence
Lens
Villetaneuse
